[2019/06/07 20:59:35][CONFIG][initLogger]  [32mLogging initialized.[0m
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Starting invocation builder...
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Setting payload of the request
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9"}
[2019/06/07 20:59:59][INFO][verifyModel]  Verifying model format...
[2019/06/07 20:59:59][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 20:59:59][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 20:59:59][INFO][verifyModel]  Model has been validated.
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Sending request...
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Sent!
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Reading response into model...
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Successfully read into model!
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  The result code is: 130
[2019/06/07 20:59:59][INFO][verifyModel]  Verifying model format...
[2019/06/07 20:59:59][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 20:59:59][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 20:59:59][INFO][verifyModel]  Model has been validated.
[2019/06/07 20:59:59][INFO][process]  Building client...
[2019/06/07 20:59:59][INFO][process]  Building WebTarget...
[2019/06/07 20:59:59][INFO][process]  Starting invocation builder...
[2019/06/07 20:59:59][INFO][process]  Setting payload of the request
[2019/06/07 20:59:59][INFO][process]  Sending request...
[2019/06/07 20:59:59][INFO][process]  This is a POST request
[2019/06/07 20:59:59][INFO][process]  Sent!
[2019/06/07 20:59:59][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 20:59:59][INFO][report]  SESSIONID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 20:59:59][INFO][report]  TRANSACTIONID: 9bbcbed9a0575f09f69fe9ee2d2b6dc91e7e9e521bb9b3b66da88c27ef0c57be7453a37a94a71f01afe104d966d2d1ba7488ca69a34a46e8aa36963c2730ac86
[2019/06/07 21:00:00][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '9bbcbed9a0575f09f69fe9ee2d2b6dc91e7e9e521bb9b3b66da88c27ef0c57be7453a37a94a71f01afe104d966d2d1ba7488ca69a34a46e8aa36963c2730ac86';
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Received request to update creditcard's info.
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  SessionID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  TransactionID: 51f20d986bdb8ca1e9c1aed40030cc6bf4d6a32f0218ee625226875884c11264a010841c4dbdbb7475343539367f8e9d9fb5c2cdc276b7ddbbc8367758baed87
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Verifying session with IDM...
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Building client...
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Building URI...
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Setting path to endpoint...
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Building WebTarget...
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Starting invocation builder...
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Setting payload of the request
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9"}
[2019/06/07 21:00:00][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:00][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:00][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:00][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Sending request...
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Sent!
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Reading response into model...
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  Successfully read into model!
[2019/06/07 21:00:00][INFO][updateCreditCardRequest]  The result code is: 130
[2019/06/07 21:00:00][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:00][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:00][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:00][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:00][INFO][process]  Building client...
[2019/06/07 21:00:00][INFO][process]  Building WebTarget...
[2019/06/07 21:00:00][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:00][INFO][process]  Setting payload of the request
[2019/06/07 21:00:00][INFO][process]  Sending request...
[2019/06/07 21:00:00][INFO][process]  This is a POST request
[2019/06/07 21:00:00][INFO][process]  Sent!
[2019/06/07 21:00:00][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:00][INFO][report]  SESSIONID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:00][INFO][report]  TRANSACTIONID: 51f20d986bdb8ca1e9c1aed40030cc6bf4d6a32f0218ee625226875884c11264a010841c4dbdbb7475343539367f8e9d9fb5c2cdc276b7ddbbc8367758baed87
[2019/06/07 21:00:00][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '51f20d986bdb8ca1e9c1aed40030cc6bf4d6a32f0218ee625226875884c11264a010841c4dbdbb7475343539367f8e9d9fb5c2cdc276b7ddbbc8367758baed87';
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Received request to insert a Customer.
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  SessionID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  TransactionID: 4836aec0ad3a0e6feb9659b49f80f2cfffbef99018c8ccb72921d5698fba1fd5e47b1c2cc7781f790a07371e06f8d239a8874e67b08948744877e0db2ec2b32b
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Verifying session with IDM...
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Building client...
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Building URI...
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Setting path to endpoint...
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Building WebTarget...
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Starting invocation builder...
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Setting payload of the request
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9"}
[2019/06/07 21:00:00][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:00][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:00][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:00][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:00][INFO][insertCustomerRequest]  Sending request...
[2019/06/07 21:00:01][INFO][insertCustomerRequest]  Sent!
[2019/06/07 21:00:01][INFO][insertCustomerRequest]  Reading response into model...
[2019/06/07 21:00:01][INFO][insertCustomerRequest]  Successfully read into model!
[2019/06/07 21:00:01][INFO][insertCustomerRequest]  The result code is: 130
[2019/06/07 21:00:01][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:01][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:01][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:01][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:01][INFO][process]  Building client...
[2019/06/07 21:00:01][INFO][process]  Building WebTarget...
[2019/06/07 21:00:01][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:01][INFO][process]  Setting payload of the request
[2019/06/07 21:00:01][INFO][process]  Sending request...
[2019/06/07 21:00:01][INFO][process]  This is a POST request
[2019/06/07 21:00:01][INFO][process]  Sent!
[2019/06/07 21:00:01][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:01][INFO][report]  SESSIONID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:01][INFO][report]  TRANSACTIONID: 4836aec0ad3a0e6feb9659b49f80f2cfffbef99018c8ccb72921d5698fba1fd5e47b1c2cc7781f790a07371e06f8d239a8874e67b08948744877e0db2ec2b32b
[2019/06/07 21:00:01][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '4836aec0ad3a0e6feb9659b49f80f2cfffbef99018c8ccb72921d5698fba1fd5e47b1c2cc7781f790a07371e06f8d239a8874e67b08948744877e0db2ec2b32b';
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Received request to retrieve a cart.
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  SessionID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  TransactionID: a96f91949dd6e48cc60411e3b2842c99826196bfbac23d61b1ec7a4000c433e26745c85a190b0159746a188deb44bbd21bb374df135093078855af798fedfd0a
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Verifying session with IDM...
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Building client...
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Building URI...
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Setting path to endpoint...
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Building WebTarget...
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Starting invocation builder...
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Setting payload of the request
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9"}
[2019/06/07 21:00:01][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:01][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:01][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:01][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:01][INFO][retrieveCartRequest]  Sending request...
[2019/06/07 21:00:02][INFO][retrieveCartRequest]  Sent!
[2019/06/07 21:00:02][INFO][retrieveCartRequest]  Reading response into model...
[2019/06/07 21:00:02][INFO][retrieveCartRequest]  Successfully read into model!
[2019/06/07 21:00:02][INFO][retrieveCartRequest]  The result code is: 130
[2019/06/07 21:00:02][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:02][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:02][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:02][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:02][INFO][process]  Building client...
[2019/06/07 21:00:02][INFO][process]  Building WebTarget...
[2019/06/07 21:00:02][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:02][INFO][process]  Setting payload of the request
[2019/06/07 21:00:02][INFO][process]  Sending request...
[2019/06/07 21:00:02][INFO][process]  This is a POST request
[2019/06/07 21:00:02][INFO][process]  Sent!
[2019/06/07 21:00:02][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:02][INFO][report]  SESSIONID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
